Object1,Object2,Distance,Collision
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5611345467530646,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.3465494930155709,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5933580478484379,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5660741390690828,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9535511587708493,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9113260986577073,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5147507969324485,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5573860392454716,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8935768982607586,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.742180648401023,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.4303011845975005,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7649594114388836,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.43992700886255703,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9634422369815216,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8492554545564855,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.3303422615124715,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8709923638853995,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6818338733126412,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8154658960654882,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9878423931480075,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9941715458616791,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9374518521680358,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9194675468044475,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9896948034657735,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9723085475054367,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7904986185993089,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9979148896623389,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.903841262000241,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.49684163733374637,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8644384529058637,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6234814514628946,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.923232268445866,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9614219357764145,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8512470132295233,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9852117682702134,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7715338606080913,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7297717641415165,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8882038023743191,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.44416112604814295,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.58627465582539,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5474005665764724,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9909860097692801,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.43829681223982586,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.841767620470217,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5629316712539951,True
